CO,NO2,O3,SO2,PM2.5,PM10,city,overall_aqi
247.0,11.65,77.25,0.47,4.87,15.68,Fontana,105
370.5,23.99,30.4,1.74,3.26,3.81,Beaverton,29
263.69,7.8,42.56,0.18,3.01,8.77,Lehigh Acres,36
273.71,10.37,38.98,0.9,6.02,8.23,Saint Joseph,33
453.95,52.78,17.17,2.21,7.73,16.08,Lauderhill,65
253.68,7.45,63.66,1.12,1.43,3.61,Cambridge,64
1281.74,57.58,0.0,3.1,45.85,54.8,Chicago,110
283.72,13.54,21.28,0.45,4.55,5.06,Lafayette,18
313.76,12.51,32.54,0.28,4.48,5.82,Fort Smith,27
1054.76,31.53,0.0,1.16,34.83,42.7,Passaic,88
240.33,5.18,79.39,0.88,3.51,9.6,Port Saint Lucie,110
267.03,20.39,44.35,1.97,3.06,5.37,West Jordan,37
277.04,9.51,43.63,3.49,13.93,14.75,Plano,45
303.75,11.14,23.96,0.33,5.16,7.13,Napa,20
327.11,17.65,37.55,0.12,2.76,3.71,Redding,31
263.69,0.24,87.26,0.03,0.5,0.55,Anchorage,130
263.69,4.41,53.64,1.18,9.2,10.65,Mount Pleasant,45
407.22,37.36,14.31,3.55,17.47,21.37,Brentwood,54
363.83,18.85,28.97,0.95,11.29,12.47,Bryan,36
277.04,9.6,50.07,0.22,4.77,13.04,Hemet,42
353.81,17.14,18.6,0.44,5.0,5.65,Bloomington,21
407.22,18.68,26.11,0.18,4.23,5.05,Grand Rapids,23
360.49,27.42,41.84,1.86,2.46,3.79,Renton,35
363.83,21.42,38.27,1.09,2.43,3.95,Federal Way,32
267.03,7.45,5.01,0.03,1.65,2.69,Asheville,9
574.11,60.32,8.14,5.6,18.38,22.29,Rancho Cordova,75
250.34,10.97,78.68,0.7,4.02,15.2,Rialto,109
494.0,32.56,0.08,1.03,12.5,13.89,Carmel,40
208.62,3.47,79.39,0.05,1.56,2.11,Santa Barbara,110
383.85,25.02,47.21,0.88,9.39,19.28,Temecula,40
660.9,59.63,0.04,4.23,22.15,32.9,San Leandro,74
417.23,17.48,16.81,0.05,6.64,7.71,Rockford,21
393.87,53.47,52.21,3.1,8.66,21.9,Los Angeles,66
627.52,38.39,0.08,0.8,9.2,12.81,Buffalo,47
287.06,2.68,50.78,0.59,7.98,9.43,Santa Maria,43
400.54,35.3,0.82,2.44,8.76,9.98,The Woodlands,44
417.23,29.82,4.34,1.49,7.25,8.19,Columbus,37
367.17,30.5,30.4,3.01,8.0,11.3,Duluth,38
801.09,72.66,0.02,4.59,31.79,37.99,Highlands Ranch,90
310.42,7.63,42.56,0.17,5.03,6.06,Springdale,36
347.14,22.28,43.63,2.59,4.02,5.62,Brockton,36
250.34,7.11,77.96,0.18,4.37,18.31,Hesperia,107
467.3,51.41,18.24,2.41,8.9,16.94,Plantation,64
236.99,4.41,60.08,0.41,1.1,3.27,Reading,53
367.17,17.82,4.92,0.17,6.89,7.84,Clarksville,22
327.11,15.25,37.19,0.32,4.39,5.88,Santa Rosa,31
453.95,32.56,0.52,4.29,8.67,11.94,Philadelphia,40
250.34,7.11,77.96,0.18,4.37,18.31,Victorville,107
236.99,4.41,44.7,0.32,1.59,2.76,Chesapeake,37
534.06,42.5,7.69,0.49,9.37,12.84,Spokane,53
520.71,26.39,0.04,0.53,12.15,19.55,Saint Louis,39
654.22,77.46,0.13,9.3,34.58,45.54,Fremont,96
290.39,10.45,52.93,1.37,4.06,4.62,Broken Arrow,44
1041.41,128.87,0.06,11.33,66.36,86.75,Chino Hills,150
447.27,61.01,12.34,2.12,12.17,29.66,Alhambra,76
280.38,3.86,52.93,0.1,0.76,0.94,Concord,44
410.56,12.34,16.45,0.14,9.65,11.15,Kennewick,31
327.11,14.4,30.4,1.18,6.41,7.47,Little Rock,25
634.19,35.99,0.08,0.32,13.47,17.61,Troy,44
500.68,30.5,3.76,0.21,15.79,17.07,Peoria,50
500.68,23.65,7.51,0.02,15.51,16.05,Cedar Rapids,50
527.38,63.75,14.13,4.47,21.07,24.65,Orem,79
433.92,22.96,12.34,1.77,21.47,24.32,Shawnee,62
4005.43,108.3,0.0,25.03,239.23,284.02,Bk,288
694.28,21.59,0.0,0.41,19.36,26.73,East Orange,57
1041.41,42.16,0.0,1.67,33.79,39.42,Cheektowaga,86
343.8,20.74,42.2,0.58,5.12,11.4,Pompano Beach,35
453.95,50.04,35.05,3.43,8.98,15.65,Mesa,62
297.07,12.17,21.82,0.27,4.6,7.0,Gainesville,18
347.14,20.05,26.46,1.77,2.57,3.26,Victoria,25
277.04,11.82,15.2,1.09,3.56,4.27,Richmond,14
440.6,52.78,5.63,1.31,15.36,17.71,Layton,65
600.82,74.71,13.95,3.19,14.75,21.74,Chandler,93
270.37,12.51,18.24,2.09,2.75,3.45,Greensboro,15
310.42,19.88,21.1,7.75,3.9,4.8,Pittsburg,24
794.41,32.9,0.0,1.19,38.1,43.55,Minneapolis,95
350.48,14.22,32.9,1.45,4.34,5.36,Racine,27
460.63,52.09,0.44,3.82,22.71,29.77,Pleasanton,65
267.03,9.17,37.91,0.83,1.96,3.28,Ellicott City,32
243.66,6.51,16.45,0.6,1.79,2.21,Gastonia,13
440.6,25.02,6.62,0.2,6.61,7.43,Oshkosh,31
614.17,69.23,8.58,2.8,15.73,23.21,Gilbert,86
343.8,22.96,26.11,3.43,15.16,16.28,Irving,49
317.1,12.68,72.96,0.11,3.73,11.13,Indio,93
353.81,15.59,17.88,0.37,3.59,4.03,South Bend,19
1108.17,138.46,0.05,18.12,59.21,79.65,Yorba Linda,137
343.8,17.99,8.32,0.43,6.17,7.82,Antioch,22
433.92,40.44,1.59,7.75,9.68,14.25,Oakland,50
410.56,31.19,9.3,2.5,22.14,26.23,Mesquite,63
273.71,8.91,35.41,0.65,2.93,3.9,Hampton,30
440.6,21.94,6.08,0.09,7.4,9.77,O'Fallon,27
594.14,42.84,0.0,0.69,13.54,18.06,Lake Forest,53
343.8,15.94,12.88,0.86,6.37,7.45,Murfreesboro,20
211.95,1.78,80.11,0.05,1.48,8.81,North Las Vegas,112
460.63,30.16,6.88,1.91,22.44,25.59,Independence,64
290.39,9.51,43.99,0.94,0.67,3.33,Vancouver,37
393.87,38.73,24.68,1.37,11.07,16.3,Lakewood,48
1415.25,224.83,0.26,24.32,110.51,136.49,Huntington Beach,203
233.65,5.18,20.21,0.11,1.11,1.84,Warner Robins,17
507.36,60.32,6.35,4.29,12.51,15.81,South Jordan,75
303.75,22.28,13.77,2.03,5.29,6.21,Conroe,27
761.03,60.32,0.04,3.93,24.09,29.94,Arden-Arcade,75
397.21,49.35,45.42,4.71,11.85,28.64,East Los Angeles,61
303.75,6.17,30.04,0.2,3.71,3.84,Lawton,25
794.41,91.85,0.07,10.49,55.2,77.77,Palo Alto,129
687.6,33.93,0.0,0.11,16.34,20.17,Norwalk,51
433.92,40.44,1.59,7.75,9.68,14.25,Berkeley,50
547.41,89.11,5.05,2.62,13.5,30.18,Hollywood,105
287.06,12.68,9.48,0.24,1.47,2.27,Lynchburg,15
247.0,4.84,25.03,0.14,1.48,1.92,Meridian,21
420.57,9.34,0.0,0.13,6.17,7.17,Johnson City,20
317.1,15.08,49.35,0.56,1.61,2.74,Kirkland,41
607.49,46.61,0.03,2.74,14.74,19.66,Skokie,58
363.83,20.22,37.19,0.31,8.62,10.86,Merced,31
330.45,18.34,47.21,1.94,3.22,4.41,Boston,40
480.65,31.19,0.39,0.09,8.76,10.43,Waukesha,38
260.35,8.48,7.15,0.22,1.87,2.47,Youngs,10
467.3,32.9,5.81,1.19,14.2,16.29,San Antonio,46
393.87,19.36,20.03,0.28,14.55,24.55,Town 'n' Country,47
1228.33,41.47,0.0,1.01,54.92,64.18,Woodbury,129
250.34,12.85,49.35,3.49,1.85,4.02,Portsmouth,41
236.99,4.58,26.82,0.17,1.37,1.81,Durham,22
1415.25,224.83,0.26,24.32,110.51,136.49,Newport Beach,203
250.34,10.97,78.68,0.7,4.02,15.2,San Bernardino,109
226.97,1.86,71.53,0.04,0.5,1.43,Midland,89
257.02,8.48,65.09,0.24,1.42,2.16,Fort Collins,69
327.11,15.25,48.64,1.04,2.87,4.34,Newton,41
347.14,20.91,14.48,0.53,7.58,10.42,New Braunfels,26
390.53,18.85,35.41,0.1,6.16,7.01,Yakima,30
267.03,8.14,23.25,0.21,3.18,4.26,Jackson,19
280.38,9.68,9.03,0.04,2.41,4.72,Chattanooga,12
260.35,6.77,38.27,0.77,1.5,1.88,Centreville,32
2429.96,70.6,0.0,7.39,122.76,151.94,Newark,183
267.03,6.51,52.93,0.01,0.69,0.99,Bend,44
263.69,4.03,85.83,0.18,3.89,4.04,Sioux Falls,127
340.46,7.8,32.9,0.15,3.24,3.81,Flint,27
223.64,3.04,16.99,0.07,1.27,1.51,Rock Hill,14
427.25,34.62,19.67,0.8,6.27,7.42,Hartford,43
333.79,13.71,47.21,2.35,18.28,19.54,Temple,55
383.85,29.47,26.82,1.34,3.14,3.84,Portland,36
407.22,18.68,26.11,0.18,4.23,5.05,Wyoming,23
547.41,27.42,2.91,0.08,17.88,18.69,Iowa City,54
323.77,18.85,23.96,2.03,4.79,5.34,Metairie,23
480.65,27.42,4.2,1.24,36.64,37.62,Spring Hill,92
196.93,4.88,39.7,0.4,6.53,8.84,San Ramon,33
260.35,9.94,37.55,0.59,2.47,3.84,Norfolk,31
614.17,69.92,1.15,1.77,12.2,22.74,Miramar,87
527.38,43.18,1.08,2.03,18.11,24.41,Stockton,55
226.97,4.58,18.42,1.1,1.0,1.51,Macon,15
253.68,7.54,14.84,0.55,1.56,2.23,Winston-Salem,12
834.47,42.84,0.0,0.6,21.61,24.25,Ann Arbor,62
494.0,52.78,11.44,0.63,9.76,12.73,Thornton,65
534.06,32.56,0.29,0.33,12.82,16.62,Joliet,41
867.84,72.66,0.03,10.25,46.35,62.87,Redwood City,111
280.38,4.88,55.79,0.43,1.43,2.17,New Bedford,47
680.92,37.7,0.03,1.77,15.99,19.39,Sterling Heights,51
921.25,93.22,0.03,8.35,31.25,53.16,Compton,107
250.34,6.0,66.52,2.09,1.38,4.56,Birmingham,73
247.0,7.71,59.37,0.09,2.57,3.76,San Buenaventura,51
654.22,77.46,0.13,9.3,34.58,45.54,Milpitas,96
794.41,91.85,0.07,10.49,55.2,77.77,Union City,129
280.38,12.85,33.98,2.65,3.76,4.51,Kenner,28
447.27,25.02,0.0,1.21,6.6,7.22,Lorain,31
460.63,53.47,24.32,1.22,9.14,20.24,Corona,66
317.1,14.74,20.92,0.88,3.17,5.22,Trenton,18
854.49,45.93,0.0,0.78,24.89,31.1,Arlington Heights,68
480.65,35.64,0.69,1.21,17.17,21.2,Turlock,53
2429.96,70.6,0.0,7.39,122.76,151.94,Jersey City,183
500.68,16.28,0.0,0.76,11.52,12.53,Knoxville,37
1575.47,164.51,0.02,21.22,86.21,116.15,Whittier,162
263.69,6.43,41.49,0.57,2.58,2.96,Mobile,35
380.52,15.59,10.82,0.05,7.38,8.14,Eau Claire,23
257.02,7.37,5.32,0.26,5.77,7.18,Tuscaloosa,18
694.28,21.59,0.0,0.41,19.36,26.73,Elizabeth,57
263.69,2.68,87.98,0.19,4.76,4.94,Sioux City,132
587.46,24.68,0.0,0.49,27.8,29.99,Maple Grove,74
273.71,5.06,38.62,0.16,3.0,4.12,Yuba City,32
357.15,12.68,29.33,0.2,7.61,7.76,Wichita Falls,24
453.95,50.04,35.05,3.43,8.98,15.65,Tempe,62
947.95,41.47,0.0,0.34,30.06,36.58,Toledo,79
205.28,0.17,75.82,0.17,2.13,6.2,Carolina,102
250.34,3.6,38.62,0.12,3.02,3.65,Bay,32
600.82,71.29,0.06,12.52,20.69,30.42,Alameda,89
1295.09,38.04,0.0,0.98,45.36,53.69,Yonkers,109
253.68,6.0,82.97,0.21,5.44,21.42,Palmdale,119
988.01,40.1,0.0,0.88,32.34,38.01,Toms River,83
494.0,29.13,10.46,0.12,7.86,9.28,Schenectady,36
337.12,18.34,26.82,0.65,6.66,8.72,Vallejo,22
260.35,7.03,57.94,0.01,1.29,1.91,Santa Fe,49
260.35,4.8,49.35,0.4,0.5,0.8,Lubbock,41
283.72,9.43,29.68,0.12,6.68,8.35,San Marcos,25
270.37,7.88,39.7,3.64,11.59,12.19,Frisco,37
801.09,72.66,0.02,4.59,31.79,37.99,Centennial,90
330.45,18.34,47.21,1.94,3.22,4.41,Somerville,40
277.04,14.57,15.02,2.83,5.4,5.92,Beaumont,18
487.33,39.76,0.09,7.75,10.03,13.29,Houston,49
921.25,93.22,0.03,8.35,31.25,53.16,Inglewood,107
363.83,26.73,33.62,1.48,5.21,6.29,Cranston,33
283.72,11.14,38.98,1.48,2.03,3.09,Gaithersburg,33
303.75,15.59,33.98,2.33,2.68,3.94,Silver Spring,28
310.42,16.28,61.51,1.31,8.03,17.89,Murrieta,57
447.27,24.33,5.19,0.07,8.9,10.43,Elgin,30
220.3,5.44,87.26,2.71,1.52,3.64,Bethlehem,130
240.33,3.86,46.49,0.16,0.5,0.65,Eugene,39
357.15,15.42,2.24,0.65,4.27,6.09,Johns Creek,19
343.8,11.48,34.69,2.03,16.18,16.94,Lawrence,51
257.02,6.0,54.36,0.63,6.66,8.57,Charleston,46
243.66,5.06,32.9,0.63,1.79,2.58,Raleigh,27
243.66,5.83,70.81,0.68,1.18,3.34,Pueblo,86
343.8,13.2,0.07,1.76,3.98,4.92,Montgomery,16
2296.45,72.66,0.0,15.26,108.08,139.36,New York,175
921.25,93.22,0.03,8.35,31.25,53.16,South Gate,107
337.12,21.42,40.41,1.58,5.07,12.83,Homestead,34
413.9,22.28,20.39,1.34,17.84,20.39,Overland Park,54
1108.17,138.46,0.05,18.12,59.21,79.65,Buena Park,137
233.65,3.13,91.55,0.25,4.62,18.13,Santa Clarita,141
373.84,45.24,10.1,10.01,23.88,29.13,Livermore,66
293.73,19.54,71.53,0.52,2.72,8.26,Henderson,89
360.49,39.41,19.31,1.01,6.09,13.06,Miami,49
527.38,63.75,14.13,4.47,21.07,24.65,Provo,79
447.27,61.01,12.34,2.12,12.17,29.66,Pasadena,76
383.85,14.57,20.21,0.07,4.05,4.79,Kalamazoo,18
250.34,4.2,55.79,0.27,6.0,6.67,Bossier City,47
567.44,33.24,0.02,0.54,12.85,15.94,Bolingbrook,41
447.27,48.67,10.19,4.53,15.03,17.03,Arlington,60
257.02,9.6,54.36,0.25,1.04,2.35,Loveland,46
390.53,26.73,48.64,1.39,10.03,16.9,San Tan Valley,41
287.06,7.2,28.25,0.15,2.07,3.21,Chico,23
460.63,52.09,32.9,1.82,8.88,19.25,Moreno Valley,65
270.37,7.37,45.42,0.72,8.78,10.85,North Charleston,38
260.35,10.8,16.99,1.85,2.56,3.27,High Point,14
333.79,14.22,47.92,0.16,3.47,7.23,Boise,40
320.44,15.94,37.55,0.95,4.49,4.64,Norman,31
447.27,31.19,3.84,0.67,4.93,7.79,Tacoma,38
317.1,8.48,45.78,0.43,5.22,5.66,Orange,38
460.63,32.56,1.06,1.0,9.3,10.82,Dayton,40
377.18,31.53,15.91,3.1,6.65,10.33,Corpus Christi,39
1415.25,224.83,0.26,24.32,110.51,136.49,Tustin,203
1415.25,224.83,0.26,24.32,110.51,136.49,Garden Grove,203
353.81,19.19,45.06,1.4,2.14,3.4,Everett,38
600.82,40.44,35.76,1.51,46.35,55.73,Escondido,111
600.82,37.01,0.94,0.23,12.4,16.62,Palatine,46
1415.25,224.83,0.26,24.32,110.51,136.49,Costa Mesa,203
313.76,11.82,25.03,0.18,4.3,7.5,The Villages,21
410.56,12.34,16.45,0.14,9.65,11.15,Pasco,31
303.75,15.59,33.98,2.33,2.68,3.94,Washington,28
216.96,2.51,20.39,0.05,0.87,1.49,Enterprise,17
761.03,31.87,0.0,0.88,34.05,40.57,Apple Valley,87
587.46,19.36,40.05,160.22,217.74,221.49,Syracuse,267
921.25,93.22,0.03,8.35,31.25,53.16,Hawthorne,107
333.79,15.94,32.54,2.38,4.34,7.5,Harlingen,27
667.57,77.46,1.34,5.01,33.58,43.19,Mountain View,96
267.03,4.07,57.22,0.38,2.33,2.47,Edmond,48
297.07,7.45,56.51,0.72,1.6,2.15,Medford,47
330.45,18.34,47.21,1.94,3.22,4.41,Quincy,40
801.09,91.85,0.1,6.38,31.79,39.9,San Jose,106
270.37,4.67,29.33,0.08,4.92,5.66,Tallahassee,24
317.1,19.02,43.27,1.13,4.29,11.9,Coral Springs,36
317.1,15.08,49.35,0.56,1.61,2.74,Bellevue,41
654.22,40.44,0.0,0.16,15.02,18.14,Danbury,50
233.65,3.38,47.21,0.38,1.4,2.13,Suffolk,40
297.07,13.02,50.78,0.07,3.91,12.18,Goodyear,43
634.19,35.99,0.08,0.32,13.47,17.61,Albany,44
190.26,1.01,76.53,0.32,1.54,5.92,Flagstaff,103
397.21,27.76,41.49,0.66,8.72,11.24,Arvada,35
747.68,58.26,0.0,1.42,17.32,24.74,Orlando,72
273.71,9.25,39.34,4.41,12.55,13.25,McKinney,40
377.18,14.57,26.46,1.33,16.81,18.32,Olathe,52
297.07,8.48,55.08,0.28,1.47,2.25,Lowell,46
377.18,25.36,28.97,1.52,3.23,3.84,Hillsboro,31
267.03,14.74,44.35,1.64,5.49,6.33,Colorado Springs,37
267.03,10.88,14.48,1.3,5.62,6.09,Lake Charles,18
340.46,12.0,23.96,0.34,5.96,7.89,Laredo,20
203.61,0.41,62.94,0.38,1.65,4.51,Saint George,62
393.87,29.47,11.98,0.9,9.01,15.25,Citrus Heights,36
554.09,60.32,0.11,12.64,20.19,25.97,San Francisco,75
634.19,28.45,0.0,1.22,29.2,33.59,Brooklyn Park,77
921.25,93.22,0.03,8.35,31.25,53.16,Lynwood,107
297.07,14.74,47.21,0.18,6.77,8.91,Visalia,40
487.33,44.55,1.77,1.06,8.38,9.77,Kenosha,55
